Strategy,Entry Date,Entry Price,Size,Exit Date,Exit Price,P&L
RSIStrategy,2012-11-02,20.6,100,2013-08-02,16.5193,-408.07000000000005
RSIStrategy,2015-07-09,30.0175,100,2016-03-22,26.68,-333.7499999999999
RSIStrategy,2016-04-27,24.455,100,2016-08-01,26.5125,205.7500000000001
RSIStrategy,2016-11-04,27.21,100,2017-01-09,29.7475,253.74999999999977
RSIStrategy,2018-02-02,40.125,100,2018-05-09,46.84,671.5000000000003
RSIStrategy,2018-11-20,44.245,100,2019-03-13,45.4275,118.25000000000045
RSIStrategy,2019-05-31,43.7675,100,2019-10-21,60.1275,1636.0
RSIStrategy,2020-02-27,68.38,100,2020-06-05,82.875,1449.5000000000005
RSIStrategy,2021-02-25,120.99,100,2021-06-30,136.96,1597.0000000000014
RSIStrategy,2022-09-30,138.2,100,2023-02-02,150.82,1262.0000000000005
RSIStrategy,2023-08-07,178.85,100,2023-11-16,189.71,1086.0000000000014
RSIStrategy,2024-01-04,181.91,100,2024-05-15,189.72,781.0000000000002
MACrossoverStrategy,2013-09-12,16.8818,100,2015-08-26,27.4225,1054.0700000000002
MACrossoverStrategy,2016-09-02,26.9325,100,2018-12-20,39.2075,1227.5000000000002
MACrossoverStrategy,2019-05-07,50.715,100,2022-06-02,151.21,10049.5
MACrossoverStrategy,2022-09-28,149.84,100,2022-09-30,138.2,-1164.0000000000014
MACrossoverStrategy,2023-03-22,157.83,100,2024-03-13,171.13,1329.9999999999982
MACrossoverStrategy,2024-06-13,214.24,100,,,
BollingerBandsStrategy,2010-05-20,8.4914,100,2010-06-17,9.7096,121.81999999999995
BollingerBandsStrategy,2010-08-16,8.8443,100,2010-09-08,9.39,54.57000000000001
BollingerBandsStrategy,2011-03-16,11.7861,100,2011-07-01,12.2593,47.32000000000003
BollingerBandsStrategy,2011-11-14,13.545,100,2011-12-27,14.5189,97.39000000000004
BollingerBandsStrategy,2012-04-16,20.7189,100,2012-06-18,20.9207,20.179999999999865
BollingerBandsStrategy,2012-10-08,22.7918,100,2013-07-29,15.9925,-679.9299999999998
BollingerBandsStrategy,2013-09-11,16.7039,100,2013-10-17,18.0179,131.4
BollingerBandsStrategy,2014-01-03,19.3207,100,2014-03-25,19.4639,14.320000000000022
BollingerBandsStrategy,2014-10-15,24.385,100,2014-10-22,25.7475,136.24999999999972
BollingerBandsStrategy,2014-12-12,27.4325,100,2015-01-28,28.8275,139.49999999999994
BollingerBandsStrategy,2015-03-11,30.56,100,2015-04-23,32.4175,185.74999999999983
BollingerBandsStrategy,2015-06-29,31.1325,100,2015-07-20,33.0175,188.4999999999998
BollingerBandsStrategy,2015-08-04,28.66,100,2015-10-22,28.875,21.499999999999986
BollingerBandsStrategy,2015-12-14,28.12,100,2016-03-01,25.1325,-298.75000000000006
BollingerBandsStrategy,2016-04-27,24.455,100,2016-05-24,24.475,2.0000000000003126
BollingerBandsStrategy,2016-06-20,23.775,100,2016-07-14,24.6975,92.2500000000003
BollingerBandsStrategy,2016-09-08,26.38,100,2016-09-14,27.9425,156.25
BollingerBandsStrategy,2016-11-01,27.8725,100,2016-12-09,28.4875,61.5000000000002
BollingerBandsStrategy,2017-06-09,37.245,100,2017-07-13,36.9425,-30.24999999999949
BollingerBandsStrategy,2017-09-20,39.0175,100,2017-10-16,39.97,95.25000000000006
BollingerBandsStrategy,2018-01-29,41.99,100,2018-04-17,44.56,257.0
BollingerBandsStrategy,2018-06-25,45.5425,100,2018-08-01,50.375,483.25000000000034
BollingerBandsStrategy,2018-11-02,51.87,100,2019-01-30,41.3125,-1055.7499999999998
BollingerBandsStrategy,2019-05-13,46.43,100,2019-07-23,52.21,578.0000000000001
BollingerBandsStrategy,2019-08-05,48.335,100,2019-09-11,55.8975,756.25
BollingerBandsStrategy,2020-02-24,74.545,100,2020-04-14,71.7625,-278.2499999999999
BollingerBandsStrategy,2020-10-30,108.86,100,2020-12-02,123.08,1422.0
BollingerBandsStrategy,2021-02-22,126.0,100,2021-04-07,127.9,190.00000000000057
BollingerBandsStrategy,2021-05-04,127.85,100,2021-06-14,130.48,262.99999999999955
BollingerBandsStrategy,2021-09-20,142.94,100,2021-10-19,148.76,581.9999999999993
BollingerBandsStrategy,2022-01-19,166.23,100,2022-03-24,174.07,784.0000000000003
BollingerBandsStrategy,2022-04-26,156.8,100,2022-07-21,155.35,-145.0000000000017
BollingerBandsStrategy,2022-08-30,158.91,100,2022-10-25,152.34,-656.9999999999993
BollingerBandsStrategy,2022-12-15,136.5,100,2023-01-23,141.11,461.00000000000136
BollingerBandsStrategy,2023-08-04,181.99,100,2023-08-31,187.87,587.9999999999995
BollingerBandsStrategy,2023-10-26,166.89,100,2023-11-10,186.4,1951.0000000000018
BollingerBandsStrategy,2024-01-02,185.64,100,2024-05-03,183.38,-225.9999999999991
BollingerBandsStrategy,2024-08-05,209.27,100,,,
